GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ProyectoBanco,ar.utn.frbb.tup,AppConfig,3,0,0,0,1,0,1,0,1,0
ProyectoBanco,ar.utn.frbb.tup,App,8,0,0,0,3,0,2,0,2,0
ProyectoBanco,ar.utn.frbb.tup.persistence,AbstractBaseDao,22,5,2,0,4,1,3,1,2,1
ProyectoBanco,ar.utn.frbb.tup.persistence,ClienteDao,57,0,6,0,13,0,7,0,4,0
ProyectoBanco,ar.utn.frbb.tup.persistence,CuentaBancariaDao,65,0,6,0,15,0,8,0,5,0
ProyectoBanco,ar.utn.frbb.tup.model,TipoPersona,11,46,2,2,2,9,3,3,1,3
ProyectoBanco,ar.utn.frbb.tup.model,CuentaBancaria,109,0,2,0,35,0,16,0,15,0
ProyectoBanco,ar.utn.frbb.tup.model,Cliente,67,28,6,0,20,6,13,1,10,1
ProyectoBanco,ar.utn.frbb.tup.model,TipoMoneda,57,0,4,0,11,0,6,0,4,0
ProyectoBanco,ar.utn.frbb.tup.model,Persona,28,29,0,0,12,10,8,3,8,3
ProyectoBanco,ar.utn.frbb.tup.model,Prestamo,3,0,0,0,2,0,1,0,1,0
ProyectoBanco,ar.utn.frbb.tup.model,TipoDeCuenta,57,0,4,0,11,0,6,0,4,0
ProyectoBanco,ar.utn.frbb.tup.service,PrestamoService,3,0,0,0,1,0,1,0,1,0
ProyectoBanco,ar.utn.frbb.tup.service,ScoreCrediticioService,5,33,2,4,2,6,3,3,1,2
ProyectoBanco,ar.utn.frbb.tup.service,CuentaBancariaService,89,0,16,0,14,0,12,0,4,0
ProyectoBanco,ar.utn.frbb.tup.service,ClienteService,74,29,8,2,19,8,9,3,4,3
ProyectoBanco,ar.utn.frbb.tup.controller.handler,TupResponseEntityExceptionHandler,76,0,2,0,13,0,6,0,5,0
ProyectoBanco,ar.utn.frbb.tup.controller.handler,CustomApiError,32,0,0,0,14,0,7,0,7,0
ProyectoBanco,ar.utn.frbb.tup.model.exception,TipoCuentaAlreadyExistsException,4,0,0,0,2,0,1,0,1,0
ProyectoBanco,ar.utn.frbb.tup.model.exception,CuentaAlreadyExistsException,4,0,0,0,2,0,1,0,1,0
ProyectoBanco,ar.utn.frbb.tup.model.exception,ClienteAlreadyExistsException,4,0,0,0,2,0,1,0,1,0
ProyectoBanco,ar.utn.frbb.tup.model.exception,CuentaNoSoportadaException,4,0,0,0,2,0,1,0,1,0
ProyectoBanco,ar.utn.frbb.tup.persistence.entity,CuentaBancariaEntity,58,0,0,0,14,0,3,0,3,0
ProyectoBanco,ar.utn.frbb.tup.persistence.entity,MovimientoEntity,3,0,0,0,1,0,1,0,1,0
ProyectoBanco,ar.utn.frbb.tup.persistence.entity,ClienteEntity,105,0,8,0,24,0,7,0,3,0
ProyectoBanco,ar.utn.frbb.tup.persistence.entity,BaseEntity,21,0,0,0,9,0,3,0,3,0
ProyectoBanco,ar.utn.frbb.tup.controller.validator,ClienteValidator,40,0,4,0,12,0,6,0,4,0
ProyectoBanco,ar.utn.frbb.tup.controller.validator,CuentaBancariaValidator,44,0,8,0,10,0,8,0,4,0
ProyectoBanco,ar.utn.frbb.tup.controller,ClienteDto,4,13,0,0,2,5,1,4,1,4
ProyectoBanco,ar.utn.frbb.tup.controller,PrestamoDto,10,0,0,0,4,0,3,0,3,0
ProyectoBanco,ar.utn.frbb.tup.controller,ClienteController,12,0,0,0,3,0,2,0,2,0
ProyectoBanco,ar.utn.frbb.tup.controller,CuentaBancariaController,10,0,0,0,3,0,2,0,2,0
ProyectoBanco,ar.utn.frbb.tup.controller,PrestamoController,3,0,0,0,1,0,1,0,1,0
ProyectoBanco,ar.utn.frbb.tup.controller,PersonaDto,8,23,0,0,4,9,2,7,2,7
ProyectoBanco,ar.utn.frbb.tup.controller,CuentaBancariaDto,24,0,0,0,10,0,7,0,7,0
